experiment_id,comparison_id,stage,status,date,owner,git_commit,config,resolved_config_checksum,dataset,dataset_revision,split,n_examples,model,model_revision,parameters_m,retriever,seeds,noise_passages,em,f1,retrieval_recall_at_k,primary_metric_ci_low,primary_metric_ci_high,confidence_level,ci_method,significance_test,p_value,adjusted_p_value,effect_size,latency_ms_per_example,throughput_examples_s,peak_memory_gb,hardware,environment_lock_checksum,raw_run_path,raw_run_manifest_checksum,notes
e0-hotpotqa-metrics-v1,official-scorer-equivalence,confirmatory,complete,2026-07-23,alexander_dikov,3676dd8448fe93ba75170dcb2d82a4a3a0c2c412,experiments/configs/e0-hotpotqa-metrics-v1.yaml,6ac1ce9955eea29bb44afd8e5e2dbf6158f1f48c4dac03bd914f441426897c74,hotpot_qa_metric_fixture,fixture@3676dd8,not_applicable,2,fixed_example_predictions,not_applicable,,not_applicable,,0,,,,,,,,,,,,,,,cpu,0969da99a0bc2a1b71ed50584560f4588a37567ac63af3ddbaf3c4617ca5621a,results/runs/e0-hotpotqa-metrics-v1,a9012ad7901a426dbfb354d4c8c34cb95a6b6d05519802af6af7697bd745d2a0,"All 12 answer/support/joint metrics matched official evaluator revision 3635853 within 1e-12; no model-quality claim."
p1-lfm2.5-thinking-gold-train-smoke-v3,native-thinking-final-interface-gate,exploratory_train_only,failed_interface_gate,2026-07-26,alexander_dikov,6842f898dcfdb654e3059e011705170f8e645e8d,experiments/configs/p1-lfm2.5-thinking-gold-train-smoke-v3.yaml,dbf3c075e5457334fa6fdaee911c1ae7ae2dab8dc32092ec75a706e4255c2320,hotpot_qa,1908d6afbbead072334abe2965f91bd2709910ab,train,16,LiquidAI/LFM2.5-1.2B-Thinking,95053d21d8e0b7ca99421a2127ae39c64f685ff3,1170.340608,gold_supporting_paragraphs,0,0,0.5,0.5833333333333334,,,,,,,,,,13479.444559375,,,NVIDIA A100-SXM4-80GB,a4439c71efa6c4ce0354edbc732a0227d68106a62db5140917ea74d05a0dc647,results/runs/p1-lfm2.5-thinking-gold-train-smoke-v3,0502ad175cb786e2430a23bc80a5b9b8d17e072efd743a5e94980a56a75647c8,"D020: 16/16 valid reasoning outputs and zero truncation, but one 2048-token exhaustion fails the gate. Original metrics finalization failed after raw writes; reviewed audit is results/reviews/p1-lfm2.5-thinking-gold-train-smoke-v3.audit.json. EM/F1 are exploratory; original total throughput and peak memory are unavailable."
p1-qwen3.5-0.8b-thinking-gold-train-smoke-v5,native-thinking-final-interface-gate,exploratory_train_only,failed_interface_gate,2026-07-26,alexander_dikov,c42fdb1215efcffa5daa4ff4b8234fc2fb6d7e94,experiments/configs/p1-qwen3.5-0.8b-thinking-gold-train-smoke-v5.yaml,843e1f5270d52db8607ee8d6d338608e0c0becaba675bf2c3eae998553398da2,hotpot_qa,1908d6afbbead072334abe2965f91bd2709910ab,train,16,Qwen/Qwen3.5-0.8B,2fc06364715b967f1860aea9cf38778875588b17,852.98592,gold_supporting_paragraphs,0,0,0.375,0.375,,,,,,,,,,62460.931973375,0.01600668524235247,1.916718592,NVIDIA A100-SXM4-80GB,a4439c71efa6c4ce0354edbc732a0227d68106a62db5140917ea74d05a0dc647,results/runs/p1-qwen3.5-0.8b-thinking-gold-train-smoke-v5,9d27f85e93682889d228db4888a47d4e6856fb77c4bc40494c710a78ad6ddb6f,"D021: reasoning on 16/16 and zero input truncation, but 12/16 exhausted 2048 tokens and only 9/16 final answers parsed. Complete metrics independently reproduced in results/reviews/p1-qwen3.5-0.8b-thinking-gold-train-smoke-v5.audit.json; EM/F1 are exploratory and cannot support H1."
p1-qwen3.5-2b-thinking-gold-train-smoke-v5,native-thinking-final-interface-gate,exploratory_train_only,failed_interface_gate,2026-07-26,alexander_dikov,941d1af128db78f2f211b3c2427640057724d055,experiments/configs/p1-qwen3.5-2b-thinking-gold-train-smoke-v5.yaml,617b889ed6d0c343f172ba2009ff0bb125c39ab34a7c24db730869ed9ea37295,hotpot_qa,1908d6afbbead072334abe2965f91bd2709910ab,train,16,Qwen/Qwen3.5-2B,15852e8c16360a2fea060d615a32b45270f8a8fc,2213.241664,gold_supporting_paragraphs,0,0,0.8125,0.8333333333333334,,,,,,,,,,60063.72716443707,0.016645046944018076,4.608634368,NVIDIA A100-SXM4-80GB,a4439c71efa6c4ce0354edbc732a0227d68106a62db5140917ea74d05a0dc647,results/runs/p1-qwen3.5-2b-thinking-gold-train-smoke-v5,2ec1e37c81f2bcde960fbb95681df1382244f090f385ced9b0961c35ea5ca730,"D022: reasoning on 16/16 and 15/16 parseable answers, but six 2048-token exhaustions fail the final gate. Complete metrics independently reproduced in results/reviews/p1-qwen3.5-2b-thinking-gold-train-smoke-v5.audit.json; EM/F1 are exploratory and cannot override D017 or support H1."
p1-lfm2.5-thinking-gold-train-budget-4096-v1,d023-expanded-output-budget-sensitivity,exploratory_train_only,failed_interface_gate,2026-07-26,alexander_dikov,a3b3ad38673bb07b8a4d1db56397815ce05e82a3,experiments/configs/p1-lfm2.5-thinking-gold-train-budget-4096-v1.yaml,3bd02fcf6ee54c8496f40e19d21eae23e861e0d10b37b1a56fcf4f37feff3164,hotpot_qa,1908d6afbbead072334abe2965f91bd2709910ab,train,16,LiquidAI/LFM2.5-1.2B-Thinking,95053d21d8e0b7ca99421a2127ae39c64f685ff3,1170.340608,gold_supporting_paragraphs,0,0,0.625,0.65625,,,,,,,,,,17033.472911,0.05865889206077468,2.450910208,NVIDIA A100-SXM4-80GB,a4439c71efa6c4ce0354edbc732a0227d68106a62db5140917ea74d05a0dc647,results/runs/p1-lfm2.5-thinking-gold-train-budget-4096-v1,6f480fd3b547e2824a995def59f3f1095833640b0588625a157e930869c83536,"D026: 14/16 parseable, two 4096-token exhaustions; gate failed. Exploratory train-only EM/F1 cannot support H1. Reviewed in results/reviews/d023-expanded-output-series.audit.json."
p1-lfm2.5-thinking-gold-train-budget-8192-v1,d023-expanded-output-budget-sensitivity,exploratory_train_only,failed_interface_gate,2026-07-26,alexander_dikov,a3b3ad38673bb07b8a4d1db56397815ce05e82a3,experiments/configs/p1-lfm2.5-thinking-gold-train-budget-8192-v1.yaml,5e20700e1e275765612a969fae628a371e7dae68b292ba347c10b65c34929418,hotpot_qa,1908d6afbbead072334abe2965f91bd2709910ab,train,16,LiquidAI/LFM2.5-1.2B-Thinking,95053d21d8e0b7ca99421a2127ae39c64f685ff3,1170.340608,gold_supporting_paragraphs,0,0,0.6875,0.71875,,,,,,,,,,24401.652373,0.04095679343688794,2.4756352,NVIDIA A100-SXM4-80GB,a4439c71efa6c4ce0354edbc732a0227d68106a62db5140917ea74d05a0dc647,results/runs/p1-lfm2.5-thinking-gold-train-budget-8192-v1,63043e07dc1ad6731fd5b2b5bff77c3c852569ebe610cdcdc4396059d56192ae,D026: the same two examples exhausted 8192 tokens and only 14/16 parsed; expanded budget did not pass the gate. Exploratory train-only EM/F1 cannot support H1.
p1-qwen3.5-2b-thinking-gold-train-budget-4096-v1,d023-expanded-output-budget-sensitivity,exploratory_train_only,failed_interface_gate,2026-07-26,alexander_dikov,a3b3ad38673bb07b8a4d1db56397815ce05e82a3,experiments/configs/p1-qwen3.5-2b-thinking-gold-train-budget-4096-v1.yaml,d306aae0a290177f0ab725b96dab7d133bc00013ea3f96aa9aacf4f8708bd446,hotpot_qa,1908d6afbbead072334abe2965f91bd2709910ab,train,16,Qwen/Qwen3.5-2B,15852e8c16360a2fea060d615a32b45270f8a8fc,2213.241664,gold_supporting_paragraphs,0,0,0.875,0.875,,,,,,,,,,77984.652715,0.012819246646881123,4.608635904,NVIDIA A100-SXM4-80GB,a4439c71efa6c4ce0354edbc732a0227d68106a62db5140917ea74d05a0dc647,results/runs/p1-qwen3.5-2b-thinking-gold-train-budget-4096-v1,a942d768b13ccc3aa819c5100ffc6b3d2f5db7e72e5738d235af514f7263413f,D026: 15/16 parseable and one 4096-token exhaustion; gate failed. Exploratory train-only EM/F1 cannot support H1.
p1-qwen3.5-2b-thinking-gold-train-budget-8192-v1,d023-expanded-output-budget-sensitivity,exploratory_train_only,passed_interface_gate,2026-07-26,alexander_dikov,a3b3ad38673bb07b8a4d1db56397815ce05e82a3,experiments/configs/p1-qwen3.5-2b-thinking-gold-train-budget-8192-v1.yaml,a359d0264f4c0362ef59eea71da448d1e50c50f44555fedcf076617d16f7c940,hotpot_qa,1908d6afbbead072334abe2965f91bd2709910ab,train,16,Qwen/Qwen3.5-2B,15852e8c16360a2fea060d615a32b45270f8a8fc,2213.241664,gold_supporting_paragraphs,0,0,0.875,0.875,,,,,,,,,,80526.020985,0.012413921731065597,4.608635904,NVIDIA A100-SXM4-80GB,a4439c71efa6c4ce0354edbc732a0227d68106a62db5140917ea74d05a0dc647,results/runs/p1-qwen3.5-2b-thinking-gold-train-budget-8192-v1,4801c807c0ae5ce849195c6b24f241488a190317b571d91518f87703213f7a8c,"D026: 16/16 parseable reasoning outputs, zero exhaustion and zero truncation; expanded-budget secondary gate passed. Train-only EM/F1 cannot support H1 or primary model selection."
e1-hotpotqa-fullwiki-bm25-v2,fullwiki-bm25-retrieval,confirmatory,complete,2026-07-24,alexander_dikov,6bd82afc57c37386ecde8699143d60409016efe5,experiments/configs/e1-hotpotqa-fullwiki-bm25-v2.yaml,72cff668c6daba01e87499cffba0538f654c372011bb3946fea25cf16d72e8a8,hotpot_qa,1908d6afbbead072334abe2965f91bd2709910ab,validation,7405,not_applicable_retrieval_only,not_applicable,,sqlite_fts5_bm25_top10,42,0,,,0.5519243754220121,0.5442943956785955,0.5596218771100607,0.95,percentile_bootstrap_mean_10000,not_applicable_no_system_comparison,,,,26480.83234271154,0.30199192628837623,0.358785024,CPU_16_logical_workers_8,936dfc3a0523e10c6ecb8d942456d2c86bc75bfc6d8c47a3029a94727849d8f9,results/runs/e1-hotpotqa-fullwiki-bm25-v2,1e3712019015e4d902ba715786de9a76bdb76d41be716bd51da3bfe8ddd9ef2a,D027: independently audited Paragraph Recall@10; all supporting paragraphs retrieved for 2061/7405 examples. Dense ablation required before confirmatory reader interpretation; no reader-quality claim.
p2-qwen3-embedding-fullwiki-calibration-v1,d028-fullwiki-dense-resource-gate,corpus_side_resource_calibration,complete_resource_calibration,2026-07-26,alexander_dikov,c073dfc6fbf5a2bbca22fecf063c33231611c78a,experiments/configs/p2-qwen3-embedding-fullwiki-calibration-v1.yaml,1fa67ffc979c23e222bfcd5a21d3528f8c1ae9486fb466ea4554edc9c6003403,hotpotqa_fullwiki_20171001_abstracts,1acca1c5cc93c4890ea51091d2bad7c3ef6987aead127ab88728dc9e26555729,corpus_only,8192,Qwen/Qwen3-Embedding-0.6B,97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3,595.776512,qwen3_embedding_512d_calibration,,0,,,,,,,,,,,,,299.9386276981498,12.725139968,NVIDIA_A100-SXM4-80GB,a4439c71efa6c4ce0354edbc732a0227d68106a62db5140917ea74d05a0dc647,results/runs/p2-qwen3-embedding-fullwiki-calibration-v1,e42e48c2174c323881e1af027cbab3819051bba7166f22b5ce849e62c7e2dad0,"D030: label-free audit projects 2,529,915 units and rejects the full dense build under the 180,000-unit D029 gate; no retrieval-quality or reader-quality claim."
